ITE_true,ITE_malts
0.3291,0.3719
0.395,0.3985
0.2727,0.2735
0.2605,0.2525
0.4248,0.4187
0.3127,0.3161
0.0751,0.0558
0.4685,0.4674
0.4689,0.4753
0.1047,0.3646
0.4185,0.4162
0.4179,0.4137
0.0001,0.0
0.2295,0.3068
0.434,0.4394
0.4773,0.4702
0.007,0.0056
0.0278,0.027
0.1659,0.1787
0.3266,0.3125
0.0,0.0
0.0669,0.0655
0.0476,0.1986
0.0061,0.0047
0.1546,0.1492
0.4685,0.473
0.4806,0.4762
0.002,0.0012
0.3012,0.2917
0.4495,0.45
0.2058,0.2019
0.4067,0.4049
0.0,0.0
0.0432,0.0427
0.4526,0.4524
0.457,0.468
0.356,0.3461
0.2014,0.2076
0.4524,0.4533
0.0354,0.0327
0.2422,0.3246
0.3385,0.3291
0.4099,0.4164
0.1757,0.1652
0.2245,0.2286
0.4178,0.2755
0.4208,0.4218
0.2372,0.2357
0.1926,0.2033
0.3003,0.2976
0.387,0.395
0.4257,0.431
0.4141,0.4177
0.4255,0.4315
0.4214,0.4216
0.0017,0.0
0.0444,0.0446
0.4619,0.4655
0.2454,0.2448
0.1746,0.1792
0.0618,0.0573
0.4679,0.4606
0.0519,0.2934
0.3783,0.3728
0.0048,0.0006
0.4436,0.4463
0.1517,0.1363
0.4678,0.4591
0.4701,0.4704
0.3837,0.3768
0.4435,0.4308
0.4693,0.3279
0.3315,0.3343
0.3544,0.3498
0.0079,0.0061
0.4827,0.319
0.0054,0.0
0.4556,0.4478
0.4387,0.4357
0.4618,0.4592
0.2481,0.2357
0.0049,0.0034
0.4546,0.4599
0.1203,0.1132
0.3535,0.3494
0.0,0.0
0.0094,0.006
0.4249,0.4188
0.4005,0.1594
0.2074,0.2477
0.0,0.0
0.0,0.0
0.4755,0.4788
0.1165,0.1247
0.0309,0.0331
0.2491,0.2534
0.4253,0.4206
0.3257,0.278
0.1549,0.1474
0.4722,0.4681
0.0,0.0
0.2841,0.29
0.47,0.4684
0.4526,0.456
0.4124,0.4232
0.0096,0.0115
0.0974,0.0961
0.4243,0.4351
0.0217,0.0141
0.3785,0.2066
0.0676,0.0588
0.3564,0.3451
0.2965,0.2907
0.3345,0.2461
0.0625,0.0637
0.0,0.2254
0.1437,0.1529
0.2731,0.264
0.3069,0.299
0.0058,0.2638
0.3642,0.3515
0.4201,0.4302
0.1562,0.1501
0.1098,0.1202
0.4885,0.4869
0.4259,0.4488
0.0,0.0
0.1368,0.1366
0.3456,0.3484
0.0414,0.2639
0.4046,0.41
0.1029,0.105
0.4272,0.4218
0.0106,0.0098
0.3895,0.388
0.3274,0.1742
0.2591,0.2748
0.1851,0.1939
0.0,0.0
0.211,0.2026
0.0018,0.0008
0.0,0.0
0.1823,0.1883
0.4418,0.441
0.0,0.0
0.3848,0.3797
0.0019,0.0003
0.4617,0.4697
0.0169,0.0156
0.4534,0.463
0.0356,0.0361
0.3987,0.4068
0.1043,0.1085
0.2627,0.2721
0.0557,0.0613
0.4769,0.4591
0.503,0.4939
0.2742,0.2895
0.2082,0.2348
0.0154,0.012
0.3527,0.3437
0.0231,0.176
0.0,0.0
0.3403,0.3215
0.0302,0.0283
0.3968,0.391
0.088,0.1034
0.0,0.0
0.3033,0.3191
0.458,0.245
0.4829,0.4788
0.0115,0.212
0.2193,0.2424
0.0441,0.0459
0.2623,0.2648
0.4531,0.457
0.0484,0.0539
0.0707,0.0817
0.488,0.4719
0.0256,0.0248
0.4325,0.4282
0.1669,0.1612
0.1503,0.146
0.4643,0.4601
0.3798,0.3764
0.4351,0.4534
0.0,0.2743
0.1296,0.14
0.0689,0.072
0.0822,0.2593
0.0,0.2737
0.2296,0.2289
0.3735,0.3671
0.0,0.0
0.2289,0.2295
0.4639,0.2376
0.1868,0.2349
0.2308,0.2661
0.0005,0.0001
0.4716,0.4743
0.1208,0.1303
0.2311,0.2291
0.3631,0.2451
0.4492,0.4483
0.0449,0.0483
0.3392,0.3403
0.2402,0.2381
0.2087,0.2257
0.2965,0.3115
0.1532,0.1543
0.4481,0.456
0.0238,0.0245
0.1792,0.1926
0.1099,0.2718
0.4787,0.4923
0.0123,0.3103
0.2796,0.3347
0.0274,0.0265
0.4547,0.4566
0.134,0.133
0.4307,0.4338
0.456,0.4571
0.4712,0.4695
0.0,0.2845
0.032,0.0298
0.4249,0.4235
0.0,0.0001
0.2523,0.2381
0.0117,0.0129
0.2863,0.2961
0.1838,0.1729
0.0629,0.0634
0.1538,0.1352
0.1116,0.1098
0.0102,0.0068
0.433,0.4317
0.1411,0.1473
0.4501,0.4614
0.2766,0.2702
0.073,0.0685
0.2546,0.2587
0.4746,0.4621
0.1664,0.1682
0.2342,0.276
0.0033,0.0024
0.0004,0.0029
0.4479,0.4465
0.327,0.3289
0.1683,0.2225
0.4204,0.4095
0.0708,0.0715
0.3095,0.3134
0.4723,0.4737
0.1208,0.1294
0.3683,0.3765
0.0,0.2887
0.1753,0.1846
0.4339,0.4289
0.0,0.0
0.0681,0.1884
0.2391,0.2496
0.0124,0.009
0.2491,0.2483
0.3933,0.3967
0.0,0.0
0.0973,0.0948
0.4793,0.4757
0.1878,0.1954
0.2468,0.2437
0.0094,0.01
0.2845,0.301
0.0377,0.0374
0.3544,0.3691
0.4822,0.4733
0.0612,0.0666
0.0,0.0
0.0505,0.0658
0.4459,0.4656
0.0,0.0
0.4452,0.4388
0.0,0.0
0.0,0.0
0.3707,0.3638
0.442,0.4396
0.0,0.0
0.0559,0.134
0.3381,0.3547
0.3686,0.3819
0.0,0.0
0.0,0.0
0.0,0.0
0.029,0.0211
0.082,0.0959
0.4607,0.4624
0.0443,0.041
0.359,0.1036
0.0,0.0
0.1805,0.187
0.3648,0.3741
0.0123,0.2075
0.2941,0.3011
0.0042,0.0048
0.4202,0.4193
0.3417,0.1471
0.4007,0.1892
0.0553,0.0628
0.1254,0.128
0.002,0.0004
0.0579,0.0628
0.4596,0.4599
0.3664,0.3802
0.3789,0.3895
0.1291,0.126
0.4572,0.4456
0.0266,0.0276
0.4435,0.4386
0.3844,0.3818
0.414,0.4151
0.1452,0.1457
0.0449,0.0439
0.0368,0.0363
0.3292,0.3425
0.2327,0.2372
0.102,0.1056
0.0,0.0
0.091,0.1351
0.0,0.0
0.0045,0.0048
0.002,0.0013
0.4272,0.4172
0.4506,0.4557
0.0216,0.1281
0.371,0.3643
0.1426,0.1465
0.049,0.0616
0.3943,0.1785
0.1435,0.18
0.0166,0.0178
0.2838,0.0795
0.3486,0.3625
0.0,0.0
0.0,0.0
0.0,0.0
0.3932,0.4003
0.0079,0.0038
0.0044,0.0039
0.16,0.1543
0.1726,0.235
0.4597,0.454
0.3782,0.374
0.3352,0.3289
0.005,0.0032
0.489,0.4851
0.4084,0.2046
0.0,0.0
0.0,0.0
0.1749,0.1607
0.2487,0.2427
0.4643,0.1531
0.0311,0.0372
0.2883,0.2912
0.0,0.0
0.4285,0.1763
0.0,0.1988
0.39,0.188
0.1397,0.1336
0.4781,0.4852
0.4338,0.4292
0.2026,0.2022
0.0171,0.0156
0.1969,0.1921
0.3775,0.3742
0.2151,0.2168
0.133,0.1643
0.0003,0.0004
0.1319,0.1252
0.4853,0.4792
0.4227,0.4252
0.2603,0.256
0.0492,0.1453
0.0011,0.0
0.0746,0.0719
0.0078,0.0075
0.0687,0.0641
0.0274,0.0224
0.1692,0.1711
0.4846,0.4693
0.353,0.35
0.0,0.0
0.4238,0.4186
0.4662,0.2413
0.2905,0.3005
0.1137,0.096
0.058,0.0532
0.3996,0.4085
0.3845,0.2622
0.2385,0.2284
0.4633,0.4533
0.3667,0.3509
0.242,0.2385
0.3782,0.3835
0.0009,0.0002
0.0423,0.0414
0.0669,0.0666
0.0,0.0
0.0146,0.0167
0.0288,0.0301
0.1945,0.1126
0.0071,0.0081
0.2784,0.2664
0.3638,0.348
0.0201,0.2439
0.4871,0.4849
0.4389,0.2921
0.1091,0.0963
0.215,0.219
0.4186,0.4488
0.3481,0.3607
0.4764,0.4833
0.0,0.0
0.0,0.0
0.0452,0.0421
0.2844,0.2901
0.2072,0.2015
0.229,0.2319
0.3577,0.3656
0.4497,0.449
0.2561,0.2535
0.4062,0.3853
0.183,0.1767
0.1083,0.1053
0.077,0.0723
0.2448,0.23
0.005,0.0048
0.2789,0.2762
0.4092,0.4121
0.1154,0.1163
0.4283,0.4322
0.2735,0.2799
0.043,0.0438
0.4171,0.4302
0.3623,0.2565
0.0191,0.018
0.3255,0.3319
0.4826,0.2304
0.1056,0.2258
0.4613,0.1934
0.0482,0.1747
0.0749,0.0837
0.3774,0.3791
0.0,0.0
0.2905,0.2838
0.1418,0.1305
0.1465,0.1368
0.444,0.4475
0.3119,0.3062
0.4679,0.47
0.2548,0.2544
0.3936,0.4028
0.3372,0.3435
0.1048,0.1073
0.3993,0.401
0.4465,0.4551
0.3921,0.3966
0.1307,0.3032
0.2452,0.2436
0.0,0.0
0.202,0.1985
0.3763,0.3737
0.186,0.1888
0.1291,0.1327
0.3608,0.095
0.2369,0.2374
0.0303,0.184
0.0253,0.0213
0.0,0.0
0.0147,0.0169
0.0112,0.0136
0.43,0.4469
0.4909,0.4863
0.2054,0.2376
0.2458,0.2466
0.0933,0.1998
0.0023,0.001
0.3076,0.2047
0.1267,0.1213
0.0923,0.0858
0.0804,0.0793
0.2328,0.2442
0.433,0.4278
0.0341,0.029
0.4109,0.4087
0.458,0.4592
0.0101,0.0084
0.3496,0.3402
0.376,0.3873
0.0011,0.0005
0.464,0.2365
0.1254,0.1139
0.0739,0.1354
0.4517,0.4528
0.0107,0.0088
0.0374,0.1361
0.06,0.0687
0.0,0.0
0.0233,0.0226
0.2182,0.123
0.2693,0.2615
0.2009,0.1101
0.0337,0.0307
0.2977,0.2934
0.4014,0.4192
0.0917,0.0994
0.0063,0.0059
0.0351,0.2614
0.2403,0.2398
0.4757,0.469
0.4655,0.4564
0.2189,0.2011
0.1156,0.1696
0.3456,0.1993
0.0022,0.0015
0.0204,0.0132
0.1226,0.1278
0.0459,0.0366
0.0,0.0
0.4093,0.4085
0.3188,0.3174
0.4368,0.4396
0.0113,0.0112
0.4756,0.4823
0.0285,0.0285
0.037,0.0345
0.4508,0.4525
0.0197,0.0103
0.456,0.2505
0.4362,0.433
0.0088,0.0089
0.4375,0.4437
0.1114,0.1099
0.3781,0.3822
0.0,0.2513
0.2226,0.2285
0.256,0.2679
0.4309,0.4368
0.3309,0.3306
0.0,0.0
0.1026,0.1026
0.4766,0.4682
0.111,0.1429
0.3782,0.381
0.0952,0.0939
0.0108,0.0089
0.4328,0.2508
0.1882,0.1858
0.1358,0.1374
0.3226,0.3438
0.409,0.4057
0.1145,0.1215
0.0982,0.1056
0.4347,0.2211
0.0276,0.0285
0.3463,0.3746
0.2437,0.2045
0.0007,0.0
0.4643,0.4603
0.111,0.1154
0.1242,0.1136
0.3689,0.2511
0.1243,0.1286
0.4354,0.2331
0.0851,0.2472
0.2477,0.2513
0.3627,0.36
0.2487,0.2448
0.2933,0.2908
0.0523,0.3111
0.3838,0.3687
0.4029,0.4288
0.1041,0.1194
0.4599,0.3083
0.0314,0.0302
0.4651,0.4544
0.4068,0.2577
0.4572,0.4611
0.1861,0.1893
0.2526,0.2433
0.2921,0.2505
0.0186,0.0135
0.394,0.3935
0.0,0.0
0.4592,0.4389
0.254,0.2246
0.051,0.0445
0.1235,0.1243
0.0808,0.2574
0.278,0.2645
0.1867,0.1931
0.2611,0.2573
0.017,0.0152
0.0833,0.074
0.4599,0.4707
0.3429,0.3329
0.4606,0.4604
0.0713,0.0745
0.3453,0.2245
0.0045,0.0043
0.0308,0.046
0.0,0.0
0.2629,0.2701
0.4583,0.4646
0.0564,0.046
0.0858,0.0779
0.1607,0.265
0.1304,0.1266
0.4072,0.4046
0.4229,0.4338
0.4339,0.2553
0.3714,0.3693
0.2929,0.2946
0.0399,0.2645
0.1468,0.1485
0.0936,0.0941
0.423,0.4199
0.1442,0.1472
0.0292,0.0296
0.1036,0.1037
0.3896,0.3906
0.068,0.0693
0.4805,0.4736
0.2662,0.2807
0.3842,0.3768
0.0492,0.269
0.3598,0.2756
0.0,0.0
0.2291,0.2464
0.2293,0.239
0.0347,0.0333
0.4533,0.4489
0.1571,0.1703
0.4054,0.4123
0.2226,0.2253
0.015,0.0123
0.0768,0.0815
0.1998,0.2204
0.1284,0.1225
0.2746,0.3076
0.4782,0.4841
0.0,0.2689
0.1395,0.1452
0.4315,0.4473
0.1209,0.277
0.0012,0.0008
0.385,0.3773
0.2236,0.2294
0.3743,0.3695
0.0811,0.075
0.0816,0.2339
0.1103,0.1039
0.0155,0.0152
0.0579,0.0555
0.4655,0.4602
0.5004,0.4961
0.4528,0.4432
0.082,0.0815
0.4703,0.4737
0.0005,0.0
0.0774,0.2526
0.0,0.0
0.0,0.0
0.2294,0.2422
0.245,0.2515
0.4609,0.1419
0.029,0.0315
0.4476,0.4492
0.0166,0.0171
0.0221,0.2129
0.4665,0.1987
0.1467,0.1524
0.0465,0.0379
0.0,0.0
0.2225,0.2602
0.2909,0.283
0.3438,0.2914
0.466,0.4687
0.2919,0.2971
0.1727,0.2877
0.2352,0.2299
0.4438,0.4459
0.4436,0.4476
0.4154,0.412
0.1116,0.1169
0.4566,0.4481
0.4063,0.4086
0.4267,0.4328
0.4582,0.4594
0.3923,0.4024
0.3552,0.3687
0.2037,0.2022
0.0,0.0
0.0,0.0
0.3925,0.4016
0.0329,0.0252
0.3167,0.327
0.2092,0.1969
0.1163,0.1243
0.1201,0.116
0.0294,0.0303
0.4777,0.1307
0.0875,0.1016
0.1034,0.0926
0.2386,0.2302
0.0,0.0
0.3671,0.3585
0.1007,0.1026
0.199,0.2003
0.0765,0.0798
0.4013,0.1027
0.0,0.0
0.1473,0.1512
0.0423,0.0396
0.0037,0.0025
0.4981,0.5059
0.1347,0.2056
0.0602,0.0659
0.4664,0.4679
0.3767,0.3787
0.0,0.0
0.477,0.4709
0.4503,0.4633
0.3096,0.2828
0.0,0.0
0.1193,0.1174
0.4618,0.4704
0.3427,0.3455
0.0092,0.0076
0.1302,0.2533
0.2307,0.2291
0.0596,0.0534
0.0006,0.0006
0.3399,0.3445
0.3258,0.3596
0.3586,0.3586
0.4635,0.4496
0.0004,0.0
0.4596,0.2054
0.0248,0.0286
0.1195,0.1105
0.1415,0.1345
0.448,0.1415
0.203,0.1965
0.0,0.0
0.1225,0.1377
0.1109,0.1082
0.2853,0.2705
0.4754,0.4992
0.4382,0.1629
0.4505,0.1419
0.3555,0.2313
0.0027,0.2719
0.2088,0.2038
0.1178,0.1136
0.0033,0.0026
0.0011,0.0013
0.4644,0.4657
0.3854,0.3917
0.4482,0.2152
0.4345,0.4396
0.5044,0.4952
0.0269,0.0225
0.0,0.0
0.2207,0.2167
0.4624,0.207
0.3657,0.3743
0.2775,0.2678
0.0022,0.0012
0.1216,0.1258
0.0831,0.0732
0.4404,0.1199
0.0024,0.0009
0.0816,0.0745
0.2117,0.1972
0.004,0.0042
0.0594,0.0663
0.0,0.0
0.038,0.0339
0.0556,0.1304
0.2019,0.2092
0.2173,0.2247
0.0039,0.0026
0.4904,0.1868
0.4497,0.4526
0.0043,0.0045
0.359,0.3625
0.4107,0.4419
0.2282,0.2324
0.0003,0.3053
0.1755,0.1963
0.4113,0.4103
0.4927,0.4926
