ITE_true,ITE_malts
0.0381,0.1478
0.0929,0.1364
0.2889,0.2931
0.0065,0.0068
0.3135,0.3001
0.1099,0.1064
0.0018,0.0023
0.389,0.3926
0.3408,0.3412
0.1572,0.1739
0.0049,0.1468
0.0097,0.0132
0.0,0.0
0.0147,0.0128
0.1316,0.1548
0.3738,0.367
0.0904,0.1989
0.0142,0.0102
0.1654,0.175
0.4622,0.4434
0.4202,0.4131
0.2356,0.2363
0.2519,0.2431
0.0342,0.0327
0.0,0.2536
0.3621,0.3643
0.0998,0.095
0.024,0.023
0.1782,0.1768
0.2516,0.2599
0.1655,0.1599
0.4663,0.4625
0.0,0.0
0.1619,0.1957
0.3941,0.399
0.1576,0.1608
0.2658,0.2625
0.0,0.0
0.1645,0.1643
0.0447,0.0421
0.2334,0.2428
0.025,0.2177
0.3443,0.3426
0.0304,0.2003
0.3491,0.3507
0.3559,0.3729
0.0266,0.0156
0.4016,0.4013
0.1525,0.1536
0.01,0.009
0.4653,0.4744
0.4662,0.4708
0.0642,0.0619
0.429,0.4297
0.4555,0.4543
0.0018,0.0006
0.278,0.2774
0.0,0.216
0.0047,0.0044
0.0589,0.062
0.3116,0.3069
0.2853,0.1418
0.0,0.0
0.0054,0.1399
0.3139,0.3166
0.4412,0.4426
0.0,0.0
0.0162,0.1876
0.0707,0.065
0.0905,0.0883
0.366,0.3589
0.0077,0.008
0.517,0.197
0.461,0.4612
0.3697,0.3639
0.4993,0.2777
0.4554,0.2754
0.0,0.0
0.3807,0.3811
0.4767,0.4796
0.4505,0.4418
0.0,0.0
0.1468,0.1606
0.0182,0.0126
0.3613,0.3581
0.0287,0.0293
0.4136,0.4128
0.042,0.0469
0.176,0.1985
0.0632,0.0616
0.0496,0.0499
0.3097,0.3122
0.3442,0.3465
0.0129,0.1906
0.0085,0.0071
0.0028,0.0037
0.3585,0.3535
0.1391,0.1475
0.3319,0.3355
0.4612,0.4537
0.0,0.0
0.1844,0.195
0.0028,0.0008
0.4453,0.4449
0.251,0.2624
0.0382,0.0386
0.1993,0.1987
0.0007,0.0
0.327,0.264
0.4629,0.4631
0.0689,0.0865
0.2173,0.2116
0.0044,0.192
0.4068,0.4101
0.3301,0.3293
0.0031,0.0039
0.0,0.0
0.371,0.3762
0.4625,0.1713
0.0123,0.0122
0.2439,0.2505
0.0252,0.0317
0.2821,0.2859
0.0954,0.1104
0.3259,0.3222
0.0982,0.2067
0.0009,0.1977
0.234,0.2393
0.2534,0.2596
0.0042,0.0038
0.4512,0.4605
0.0,0.0
0.0681,0.0681
0.3471,0.1673
0.0623,0.0683
0.2677,0.1526
0.0967,0.0997
0.1486,0.2184
0.0,0.2007
0.2245,0.2333
0.1979,0.217
0.465,0.2323
0.3163,0.3172
0.4685,0.4721
0.192,0.2075
0.2393,0.2542
0.3493,0.3411
0.1153,0.1135
0.3944,0.4066
0.3476,0.3599
0.362,0.3568
0.0,0.0
0.1906,0.2585
0.1741,0.1759
0.2237,0.2241
0.419,0.4039
0.2692,0.271
0.2449,0.2564
0.479,0.2854
0.3856,0.3944
0.0,0.2515
0.0136,0.0123
0.3878,0.2509
0.4742,0.4602
0.1061,0.2669
0.4061,0.405
0.0132,0.0169
0.2596,0.2584
0.0696,0.0668
0.1668,0.1579
0.4526,0.2201
0.3925,0.2032
0.4741,0.4775
0.3149,0.2271
0.174,0.1749
0.1126,0.1167
0.1036,0.1071
0.2709,0.2774
0.065,0.0595
0.3444,0.353
0.0,0.0
0.2958,0.289
0.0,0.0
0.072,0.0822
0.0636,0.1233
0.3903,0.4016
0.0207,0.1229
0.0666,0.0631
0.3704,0.1271
0.3369,0.3388
0.0044,0.0046
0.0068,0.007
0.2087,0.2045
0.0,0.0
0.4094,0.4053
0.3803,0.3805
0.0043,0.0
0.4579,0.4335
0.4095,0.4141
0.453,0.45
0.4547,0.4576
0.168,0.1586
0.1896,0.3039
0.0433,0.043
0.0118,0.0128
0.3834,0.3811
0.4557,0.4527
0.0787,0.3044
0.0057,0.3147
0.4373,0.4369
0.4382,0.4415
0.4094,0.413
0.4398,0.4289
0.0088,0.0049
0.0416,0.4001
0.4254,0.4229
0.4531,0.4637
0.421,0.4214
0.276,0.2699
0.4424,0.2895
0.4717,0.3199
0.4435,0.3176
0.3551,0.3501
0.0299,0.0219
0.1693,0.1644
0.4372,0.4413
0.1796,0.2883
0.2452,0.2648
0.4103,0.4009
0.1139,0.2883
0.4246,0.4139
0.0015,0.3427
0.0,0.0
0.4711,0.4743
0.2874,0.2861
0.3569,0.3549
0.2248,0.2129
0.4643,0.4766
0.2944,0.2828
0.423,0.4319
0.0,0.0
0.3904,0.3755
0.0486,0.0454
0.0057,0.0038
0.4064,0.4171
0.4245,0.4202
0.0796,0.0773
0.4447,0.4377
