ITE_true,ITE_malts
0.0381,0.0276
0.0139,0.0766
0.0112,0.0083
0.0588,0.0509
0.1519,0.076
0.0452,0.0398
0.0,0.0
0.2493,0.2658
0.0039,0.0
0.09,0.1023
0.0014,0.0
0.4294,0.4207
0.4565,0.4537
0.3042,0.2359
0.4271,0.4574
0.0446,0.2439
0.1309,0.117
0.0,0.0
0.0722,0.0753
0.478,0.4605
0.3626,0.354
0.3291,0.2535
0.4197,0.4234
0.0433,0.036
0.0,0.0
0.4774,0.4852
0.2284,0.2331
0.0262,0.0264
0.3981,0.3983
0.0691,0.0746
0.0237,0.0217
0.4223,0.2361
0.4552,0.4594
0.3694,0.3599
0.0,0.3111
0.4676,0.4735
0.3356,0.2969
0.0792,0.2811
0.0609,0.0514
0.4208,0.4259
0.0383,0.2685
0.4608,0.4578
0.1796,0.1753
0.0012,0.0009
0.3061,0.3027
0.0065,0.005
0.1439,0.1451
0.4474,0.4419
0.0421,0.0366
0.4245,0.18
0.1266,0.1307
0.0002,0.0
0.1434,0.1446
0.0234,0.2506
0.3483,0.3473
0.3113,0.3209
0.3646,0.2109
0.3858,0.3893
0.3118,0.3137
0.186,0.1837
0.0196,0.0185
0.0547,0.0564
0.2651,0.2537
0.3455,0.3412
0.4664,0.4616
0.2334,0.2444
0.4081,0.4051
0.4797,0.2251
0.1316,0.1314
0.2564,0.2433
0.1629,0.1669
0.0032,0.0041
0.1571,0.1612
0.0944,0.2148
0.4367,0.4313
0.0,0.0
0.1121,0.1148
0.437,0.1583
0.3974,0.3949
0.0674,0.0765
0.1098,0.1087
0.0311,0.1405
0.1119,0.1245
0.4363,0.4317
0.0,0.0
0.0086,0.0071
0.0256,0.0218
0.0402,0.0445
0.0,0.1511
0.3613,0.3598
0.0,0.1737
0.0028,0.0024
0.0593,0.0532
0.3715,0.3873
0.3124,0.2304
0.3867,0.4025
0.3704,0.3676
0.3747,0.387
0.4102,0.267
0.003,0.0025
0.3617,0.3684
0.4678,0.2908
0.082,0.0753
0.2901,0.295
0.2967,0.3109
0.2013,0.2066
0.2143,0.2334
0.2616,0.2854
0.2695,0.294
0.0752,0.0829
0.4563,0.443
0.3497,0.3445
0.0304,0.0376
0.4836,0.4826
0.4852,0.4926
0.0638,0.0699
0.0,0.0
0.0804,0.0787
0.4132,0.4131
0.0037,0.0031
0.2972,0.3091
0.2048,0.1819
0.0,0.0
0.4718,0.4673
0.4217,0.4246
0.1937,0.1883
0.0,0.2658
0.0243,0.0265
0.2524,0.2515
0.1747,0.1724
0.2803,0.293
0.4224,0.4224
0.0,0.2157
0.036,0.2491
0.1158,0.1137
0.0164,0.0122
0.0152,0.0164
0.1228,0.1289
0.4932,0.4893
0.2921,0.2982
0.2748,0.1904
0.2906,0.2824
0.0009,0.0008
0.2912,0.3014
0.3078,0.2361
0.1693,0.1611
0.4033,0.2269
0.2277,0.2249
0.4696,0.4789
0.0195,0.0262
0.1021,0.1049
0.0609,0.0564
0.4243,0.2121
0.4811,0.4865
0.0514,0.0494
0.3403,0.3304
0.0782,0.0937
0.0171,0.0144
0.4683,0.4851
0.0,0.0
0.0671,0.0613
0.4376,0.4333
0.0001,0.0
0.0035,0.0041
0.4702,0.4549
0.0,0.0
0.2159,0.2097
0.0,0.0
0.0132,0.009
0.1032,0.1113
0.3649,0.3675
0.4134,0.4308
0.4766,0.4779
0.4467,0.4396
0.1142,0.275
0.0043,0.346
0.2469,0.2592
0.0499,0.3591
0.4824,0.4647
0.1466,0.311
0.0789,0.2816
0.1361,0.1279
0.4539,0.4468
0.4102,0.2339
0.172,0.1738
0.1953,0.1928
0.0051,0.004
0.1091,0.1118
0.4641,0.4672
0.0341,0.2066
0.0183,0.0231
0.4221,0.4128
0.092,0.0894
0.2186,0.1688
0.0029,0.2045
0.0032,0.2046
0.1349,0.1264
0.0,0.0
0.0022,0.0019
0.3959,0.4041
0.116,0.1161
0.4501,0.4513
0.335,0.3349
0.4657,0.4637
0.0297,0.0298
0.0136,0.0106
0.3234,0.318
0.0002,0.0
0.0333,0.0375
0.4395,0.4422
0.0,0.0
0.1391,0.1438
0.4382,0.4254
0.4136,0.4127
0.4561,0.4707
0.4604,0.4588
0.4182,0.4278
0.0798,0.0917
0.0364,0.0384
0.2165,0.2224
0.2764,0.2701
0.0919,0.0967
0.038,0.0368
0.0,0.0
0.2485,0.1992
0.4573,0.4562
0.4564,0.4578
0.0231,0.0211
0.3537,0.3405
0.0,0.2475
0.0649,0.0509
0.0281,0.2638
0.4162,0.4232
0.1051,0.1086
0.2947,0.3011
0.075,0.0778
0.0734,0.0717
0.3923,0.3347
0.4498,0.4437
0.317,0.3119
0.4379,0.433
0.4509,0.437
0.4762,0.4679
0.0,0.0
0.4377,0.4474
0.094,0.0948
0.0,0.0
0.4678,0.4628
0.4328,0.4372
0.0,0.0
0.1846,0.2066
0.0442,0.0543
0.011,0.0087
0.0009,0.1645
0.3623,0.2198
0.0084,0.008
0.0436,0.2183
0.2381,0.2338
0.0005,0.23
0.2458,0.2588
0.4569,0.4579
0.2344,0.3059
0.0,0.3022
0.4666,0.4736
0.0276,0.0236
0.2692,0.2728
0.4463,0.4391
0.4761,0.476
0.3134,0.3139
0.0338,0.0336
0.0202,0.0157
0.2694,0.2694
0.1435,0.1404
0.2529,0.2455
0.3951,0.1781
0.2077,0.2031
0.3704,0.362
0.2115,0.216
0.1069,0.2754
0.0067,0.0049
0.0614,0.2499
0.4554,0.4465
0.2518,0.2561
0.4666,0.4592
0.0005,0.0
0.4113,0.2768
0.3949,0.3993
0.0493,0.047
0.2282,0.234
0.0805,0.2478
0.149,0.1655
0.0686,0.1746
0.0688,0.0597
0.4684,0.4738
0.1435,0.1619
0.2993,0.3066
0.1595,0.1847
0.0,0.0
0.0012,0.0
0.0,0.0
0.4819,0.4837
0.2647,0.2619
0.1567,0.1611
0.1179,0.1398
0.1485,0.1375
0.3341,0.084
0.0,0.0
0.0,0.1555
0.0,0.0
0.0047,0.0049
0.4315,0.4434
0.3555,0.3628
0.4186,0.423
0.3596,0.3497
0.1725,0.1797
0.2017,0.196
0.3925,0.3943
0.0319,0.0404
0.3551,0.354
0.1624,0.1812
0.0142,0.011
0.0,0.0
0.2035,0.2175
0.1738,0.1908
0.0211,0.1769
0.0804,0.0749
0.3886,0.3795
0.4474,0.4495
0.185,0.1852
0.3723,0.365
0.0051,0.0051
0.0564,0.0532
0.2983,0.2916
0.3629,0.38
0.0078,0.0069
0.0145,0.0124
0.1821,0.1868
0.4297,0.2147
0.4468,0.4598
0.2701,0.2788
0.4025,0.4158
0.4299,0.2525
0.0,0.0
0.4418,0.4427
0.1011,0.0968
0.0196,0.027
0.0051,0.2926
0.4611,0.4614
0.4047,0.4074
0.5047,0.492
0.1762,0.1753
0.0616,0.0604
0.4824,0.3032
0.0034,0.0011
0.0143,0.0152
0.4344,0.432
0.4309,0.4486
0.3004,0.3018
0.413,0.1776
0.0644,0.0636
0.2501,0.2549
0.0,0.0
0.0626,0.0607
0.2875,0.2954
0.3978,0.4064
0.004,0.0051
0.4479,0.4483
0.2099,0.1991
0.3192,0.3277
0.2412,0.242
0.152,0.1583
0.0896,0.0906
0.135,0.1378
0.0,0.0
0.2181,0.2029
0.479,0.2287
0.2152,0.2491
0.3656,0.3547
0.4503,0.4436
0.0018,0.0008
0.4379,0.438
0.4136,0.4243
0.2455,0.2572
0.2705,0.2764
0.0,0.0
0.3511,0.3572
0.05,0.1799
0.1548,0.1431
0.0439,0.0415
0.0378,0.0302
0.0,0.0
0.0029,0.2216
0.2587,0.2368
0.4318,0.4272
0.2949,0.3011
0.0727,0.0768
0.3815,0.202
0.4025,0.187
0.4456,0.4327
0.2146,0.2032
0.0001,0.0
0.0196,0.0248
0.0341,0.0329
0.2405,0.2347
0.4783,0.4815
0.0,0.0
0.3925,0.4053
0.0,0.0
0.4201,0.4117
0.0,0.0
0.0223,0.0188
0.2764,0.2692
0.32,0.1495
0.0,0.1434
0.2003,0.1807
0.1191,0.1176
0.0393,0.0311
0.2966,0.3018
0.1721,0.1716
0.0145,0.0148
0.3765,0.3736
0.4488,0.451
0.1843,0.3324
0.2587,0.2706
0.4592,0.4612
0.4911,0.4882
0.357,0.3544
0.4847,0.3689
0.1004,0.3804
0.2921,0.2897
0.2896,0.2745
0.44,0.4442
0.2605,0.3189
0.4407,0.2814
0.3461,0.3461
0.0271,0.2696
0.0005,0.0003
0.0026,0.0006
0.405,0.4059
0.0,0.0
0.4632,0.4777
0.2999,0.2989
0.3903,0.3896
