X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,A
0.9632353255524105,0.2345311942974866,0.8602323860215645,0.24495223344060435,0.8869081760325619,0.9537567903437599,0.9402407306828171,0.14147631306852015,0.7213511870747382,0.19322959002181517,0.3285613153265602,1.0
0.9345734985860019,0.09114002532592014,0.34203828789944,0.09404993220541624,0.0825652224459349,0.693504331660084,0.27513080448921934,0.343918131487871,0.6003654626559488,0.48616396167820064,0.10473111365529797,1.0
0.7919817814308711,0.38022931334162935,0.8676030012631357,0.9864149415347393,0.5848949476298204,0.39425934061324763,0.35586285493521597,0.7859577108073795,0.5644100060393555,0.8658898554588957,0.9331593554044595,1.0
0.7796063902057956,0.23795210413694567,0.4752473038584418,0.17714003803060574,0.2652883752605375,0.33921802419985936,0.3888943860721723,0.8920464217388063,0.2041855926620908,0.5219735051534498,0.04309220563988847,1.0
0.4288796288151774,0.5263364820494955,0.9012369442892316,0.47277436043531784,0.5402756220897177,0.40682737303634675,0.7419123394173696,0.2061584467037002,0.6767982139820389,0.49554399414556805,0.048145296431035156,1.0
0.8057641989374336,0.24189735251601674,0.3659350926284878,0.03319365697536758,0.03293996997071569,0.7279600102683265,0.8735629430734378,0.32255202816275885,0.24097189572490085,0.5338507937687299,0.8220144271140166,0.0
0.4124299724474736,0.05077730526727475,0.09251623782694107,0.044528451332781493,0.7592827766518228,0.09745914906632525,0.29562638448639356,0.5773537294444895,0.2680319750209855,0.7338974118119946,0.031254261751570867,1.0
0.7992024783883379,0.199098724495403,0.06640489918111159,0.6754292815557903,0.5876173078633921,0.9947833668757857,0.993714787615648,0.9169010559212742,0.011711538697397272,0.828805207421196,0.14512970414994175,1.0
0.6571239483945108,0.4113097392595667,0.7545659236052957,0.12304429249009952,0.7108377820124165,0.4586926632885774,0.9458157946451679,0.12849483751693447,0.9497103322131671,0.5962024049591931,0.7271307155360959,1.0
0.20367002470806939,0.42454306889984306,0.8942455742994596,0.49254016636799425,0.2691550843118068,0.8880291409002709,0.8058936998363335,0.14651363650194194,0.6117371510180493,0.8885295291348785,0.7953296863145071,1.0
